x,y,z
-1.745063,-3.364300,7.497950
-1.906987,-3.688431,7.356714
-2.085131,-4.045212,7.230873
-2.281139,-4.437823,7.122397
-2.496808,-4.869692,7.033700
-2.734096,-5.344483,6.967721
-2.995135,-5.866081,6.928039
-3.282229,-6.438554,6.918988
-3.597862,-7.066096,6.945810
-3.944685,-7.752935,7.014816
-4.325510,-8.503205,7.133584
-4.743280,-9.320752,7.311162
-5.201027,-10.208874,7.558307
-5.701812,-11.169963,7.887718
-6.248627,-12.205028,8.314269
-6.844267,-13.313066,8.855202
-7.491147,-14.490256,9.530245
-8.191058,-15.728950,10.361592
-8.944847,-17.016433,11.373650
-9.752006,-18.333470,12.592447
-10.610152,-19.652681,14.044529
-11.514405,-20.936851,15.755188
-12.456650,-22.137400,17.745803
-13.424725,-23.193355,20.030160
-14.401588,-24.031350,22.609666
-15.364564,-24.567331,25.467638
-16.284841,-24.710744,28.563164
-17.127431,-24.371926,31.825585
-17.851880,-23.472982,35.151187
-18.413991,-21.961631,38.404191
-18.768755,-19.826188,41.424092
-18.874498,-17.108391,44.040578
-18.697887,-13.909729,46.095286
-18.219071,-10.387195,47.466903
-17.435884,-6.736634,48.093570
-16.365959,-3.165777,47.985666
-15.045941,0.136727,47.224158
-13.527674,3.027815,45.944275
-11.872125,5.424980,44.309502
-10.142414,7.307015,42.483855
-8.397471,8.702957,40.609844
-6.687429,9.674836,38.796087
-5.051202,10.300068,37.114527
-3.516075,10.657460,35.604529
-2.098722,10.818267,34.280350
-0.807023,10.841891,33.139162
0.357869,10.774946,32.167955
1.399576,10.652281,31.348703
2.324847,10.498891,30.661824
3.142251,10.332018,30.088259
3.861228,10.163080,29.610563
4.491413,9.999262,29.213368
5.042198,9.844772,28.883453
5.522455,9.701779,28.609620
5.940388,9.571095,28.382473
6.303458,9.452663,28.194168
6.618379,9.345897,28.038168
6.891131,9.249912,27.909030
7.127009,9.163682,27.802213
7.330676,9.086142,27.713917
7.506223,9.016252,27.640955
7.657226,8.953040,27.580643
7.786807,8.895621,27.530713
7.897689,8.843207,27.489246
7.992240,8.795113,27.454608
8.072528,8.750751,27.425412
8.140350,8.709627,27.400474
8.197278,8.671334,27.378789
8.244683,8.635543,27.359502
8.283769,8.601995,27.341888
8.315592,8.570491,27.325340
8.341082,8.540888,27.309352
8.361062,8.513087,27.293505
8.376265,8.487027,27.277463
8.387341,8.462678,27.260959
8.394875,8.440037,27.243794
8.399391,8.419119,27.225824
8.401364,8.399954,27.206956
8.401223,8.382581,27.187148
8.399359,8.367045,27.166397
8.396127,8.353392,27.144738
8.391854,8.341667,27.122240
8.386835,8.331910,27.099000
8.381343,8.324157,27.075144
8.375624,8.318430,27.050816
8.369905,8.314746,27.026181
8.364389,8.313106,27.001420
8.359261,8.313500,26.976722
8.354685,8.315904,26.952290
8.350806,8.320278,26.928330
8.347754,8.326568,26.905052
8.345635,8.334706,26.882665
8.344542,8.344608,26.861378
8.344549,8.356174,26.841394
8.345711,8.369293,26.822908
8.348069,8.383837,26.806108
8.351646,8.399665,26.791167
8.356448,8.416626,26.778246
8.362466,8.434555,26.767490
8.369675,8.453278,26.759028
8.378035,8.472610,26.752965
8.387493,8.492361,26.749391
8.397980,8.512332,26.748370
8.409415,8.532321,26.749944
8.421705,8.552120,26.754131
8.434747,8.571522,26.760922
8.448424,8.590320,26.770283
8.462614,8.608308,26.782156
8.477183,8.625287,26.796453
8.491994,8.641061,26.813062
8.506900,8.655445,26.831845
8.521755,8.668264,26.852640
8.536406,8.679357,26.875257
8.550701,8.688576,26.899489
8.564488,8.695792,26.925103
8.577619,8.700893,26.951851
8.589946,8.703790,26.979464
8.601331,8.704416,27.007663
8.611639,8.702726,27.036154
8.620748,8.698702,27.064637
8.628543,8.692350,27.092807
8.634924,8.683704,27.120355
8.639802,8.672824,27.146977
8.643104,8.659795,27.172372
8.644773,8.644730,27.196251
8.644769,8.627765,27.218335
8.643068,8.609060,27.238363
8.639668,8.588798,27.256093
8.634581,8.567182,27.271308
8.627841,8.544429,27.283813
8.619500,8.520776,27.293444
8.609627,8.496470,27.300068
8.598312,8.471767,27.303580
8.585657,8.446930,27.303914
8.571784,8.422224,27.301034
8.556828,8.397916,27.294941
8.540937,8.374267,27.285671
8.524270,8.351535,27.273294
8.506997,8.329966,27.257914
8.489294,8.309796,27.239666
8.471344,8.291245,27.218718
8.453334,8.274517,27.195265
8.435452,8.259799,27.169531
8.417887,8.247255,27.141761
8.400824,8.237028,27.112225
8.384444,8.229238,27.081211
8.368923,8.223981,27.049021
8.354429,8.221328,27.015973
8.341119,8.221324,26.982392
8.329140,8.223991,26.948612
8.318625,8.229323,26.914970
8.309695,8.237289,26.881804
8.302454,8.247835,26.849449
8.296992,8.260881,26.818237
8.293381,8.276323,26.788488
8.291675,8.294035,26.760515
8.291911,8.313868,26.734616
8.294107,8.335654,26.711072
8.298262,8.359203,26.690144
8.304356,8.384306,26.672076
8.312351,8.410738,26.657083
8.322189,8.438259,26.645357
8.333796,8.466612,26.637063
8.347078,8.495531,26.632331
8.361923,8.524736,26.631264
8.378205,8.553941,26.633929
8.395778,8.582854,26.640358
8.414486,8.611178,26.650545
8.434155,8.638616,26.664450
8.454601,8.664872,26.681993
8.475628,8.689655,26.703053
8.497031,8.712683,26.727475
8.518596,8.733683,26.755061
8.540105,8.752398,26.785580
8.561334,8.768586,26.818762
8.582059,8.782030,26.854303
8.602056,8.792534,26.891867
8.621104,8.799931,26.931090
8.638987,8.804084,26.971579
8.655497,8.804888,27.012920
8.670436,8.802276,27.054682
8.683620,8.796216,27.096420
8.694879,8.786718,27.137679
8.704063,8.773828,27.178002
8.711040,8.757637,27.216935
8.715700,8.738274,27.254031
8.717957,8.715908,27.288858
8.717752,8.690746,27.321005
8.715051,8.663031,27.350082
8.709849,8.633042,27.375734
8.702169,8.601084,27.397640
